differential,top,,l2,3.93,4.49,3.93,3.38,100
differential,l2,top,l3,3.87,3.78,4,4.09,100
differential,l5,l4,bot,3.87,3.82,4,4.05,100
differential,bot,l5,,3.93,4.56,3.93,3.3,100
single-ended,l4,l3,l5,5.87,6.22,0,0,60
single-ended,l2,top,l3,3.87,3.82,0,0,60
